pu_borough,pickup_hour,trip_count,median_duration_min,median_speed_mph,avg_trip_distance_miles,avg_duration_min,avg_speed_mph
Bronx,0,257,14.12,19.84,5.707,16.06,19.8
Bronx,1,133,14.0,15.49,4.857,15.14,17.54
Bronx,2,111,13.95,18.91,5.115,15.95,19.32
Bronx,3,113,14.1,21.38,5.55,14.79,21.32
Bronx,4,306,17.23,20.14,7.744,22.61,21.58
Bronx,5,610,27.77,18.1,9.566,32.74,19.19
Bronx,6,1223,29.0,16.79,9.017,34.3,17.43
Bronx,7,1570,28.28,13.33,7.459,33.22,14.2
Bronx,8,1349,26.23,11.61,6.757,33.28,12.69
Bronx,9,831,30.43,12.23,7.625,36.96,13.35
Bronx,10,601,31.83,11.87,7.865,38.09,13.47
Bronx,11,593,35.15,11.75,8.508,40.59,15.21
Bronx,12,595,33.45,11.52,8.202,38.65,13.29
Bronx,13,579,31.52,12.07,8.093,37.42,13.42
Bronx,14,640,29.64,11.9,7.679,37.02,13.14
Bronx,15,511,30.15,11.12,7.478,37.51,12.16
Bronx,16,403,32.7,10.42,7.214,38.47,11.36
Bronx,17,410,27.33,10.93,7.021,35.52,11.61
Bronx,18,310,21.23,12.46,6.522,27.82,13.49
Bronx,19,245,19.05,13.81,6.732,25.98,15.53
Bronx,20,270,16.98,16.95,6.752,21.74,17.95
Bronx,21,234,19.09,18.27,7.527,23.7,19.41
Bronx,22,367,16.0,19.59,6.271,18.03,19.79
Bronx,23,430,15.99,20.58,6.247,17.01,20.98
Brooklyn,0,2001,17.65,13.7,5.037,18.59,15.74
Brooklyn,1,1515,17.85,13.94,4.969,18.45,15.67
Brooklyn,2,1279,17.85,14.41,5.217,18.68,16.14
Brooklyn,3,1123,18.17,15.1,5.757,19.23,17.06
Brooklyn,4,1232,18.48,15.24,6.145,20.6,17.4
Brooklyn,5,1419,24.62,13.8,7.405,29.12,15.93
Brooklyn,6,2558,27.75,12.7,7.197,32.68,14.11
Brooklyn,7,4297,26.38,10.3,5.785,31.43,11.63
Brooklyn,8,4876,27.1,9.35,5.412,31.56,10.6
