pu_borough,pu_zone,pickup_hour,trip_count,median_duration_min,median_speed_mph,avg_trip_distance_miles
Bronx,Allerton/Pelham Gardens,0,3,21.37,24.01,9.433
Bronx,Allerton/Pelham Gardens,1,2,15.64,15.97,5.145
Bronx,Allerton/Pelham Gardens,2,1,11.98,14.67,2.93
Bronx,Allerton/Pelham Gardens,3,2,10.52,17.91,3.78
Bronx,Allerton/Pelham Gardens,4,7,25.2,32.92,11.177
Bronx,Allerton/Pelham Gardens,5,18,42.76,17.39,10.949
Bronx,Allerton/Pelham Gardens,6,21,32.25,15.45,9.89
Bronx,Allerton/Pelham Gardens,7,12,17.98,11.93,7.274
Bronx,Allerton/Pelham Gardens,8,21,25.97,11.71,6.759
Bronx,Allerton/Pelham Gardens,9,12,41.62,14.6,8.986
Bronx,Allerton/Pelham Gardens,10,6,62.28,8.2,10.083
Bronx,Allerton/Pelham Gardens,11,4,54.52,8.24,9.725
Bronx,Allerton/Pelham Gardens,12,4,31.43,8.41,6.775
Bronx,Allerton/Pelham Gardens,13,4,54.85,13.05,12.375
Bronx,Allerton/Pelham Gardens,14,9,34.22,13.4,7.592
Bronx,Allerton/Pelham Gardens,15,5,15.05,12.18,7.804
Bronx,Allerton/Pelham Gardens,16,6,48.62,12.38,11.07
Bronx,Allerton/Pelham Gardens,17,1,79.88,4.88,6.5
Bronx,Allerton/Pelham Gardens,18,2,36.03,20.57,12.45
Bronx,Allerton/Pelham Gardens,19,3,4.85,14.26,1.863
Bronx,Allerton/Pelham Gardens,21,4,40.01,12.91,8.158
Bronx,Allerton/Pelham Gardens,22,3,16.0,24.48,7.717
Bronx,Allerton/Pelham Gardens,23,3,23.67,12.45,7.573
Bronx,Bedford Park,0,6,16.76,15.17,4.163
Bronx,Bedford Park,3,4,16.43,18.11,5.993
Bronx,Bedford Park,4,20,33.88,17.44,10.675
Bronx,Bedford Park,5,7,18.73,19.95,7.116
Bronx,Bedford Park,6,30,32.54,17.96,10.592
Bronx,Bedford Park,7,34,23.78,13.02,7.149
Bronx,Bedford Park,8,39,21.35,11.18,5.888
Bronx,Bedford Park,9,17,39.42,13.96,10.127
Bronx,Bedford Park,10,15,32.4,13.38,10.0
Bronx,Bedford Park,11,12,32.18,10.14,7.346
Bronx,Bedford Park,12,11,35.48,11.08,9.177
Bronx,Bedford Park,13,13,45.33,16.01,12.306
Bronx,Bedford Park,14,19,48.55,14.09,12.724
Bronx,Bedford Park,15,16,34.2,10.98,7.954
Bronx,Bedford Park,16,7,34.93,10.23,7.716
Bronx,Bedford Park,17,8,23.07,11.96,10.023
Bronx,Bedford Park,18,4,12.64,8.75,5.04
Bronx,Bedford Park,19,6,16.15,9.07,3.677
Bronx,Bedford Park,20,9,18.63,12.11,7.256
Bronx,Bedford Park,21,6,17.16,19.29,6.158
Bronx,Bedford Park,22,6,15.29,12.06,3.263
Bronx,Bedford Park,23,6,17.56,19.08,4.39
Bronx,Belmont,0,2,13.03,18.65,3.86
Bronx,Belmont,1,3,13.35,14.38,5.697
Bronx,Belmont,2,2,9.75,15.96,2.63
Bronx,Belmont,4,7,19.57,26.53,10.08
Bronx,Belmont,5,12,24.08,21.19,9.373
Bronx,Belmont,6,10,31.95,14.29,9.541
Bronx,Belmont,7,15,33.83,10.37,8.932
Bronx,Belmont,8,15,22.73,9.67,5.677
